id,categoria,pergunta,resposta
1,conta,Como faço para alterar minha senha?,"Acesse Configurações > Segurança > Alterar senha. Você receberá um e-mail de confirmação para validar a alteração. Por segurança, a nova senha deve ter no mínimo 8 caracteres, incluindo letras e números."
2,conta,Como faço para atualizar meus dados cadastrais?,"Vá em Meu Perfil > Dados Cadastrais e edite as informações desejadas (nome, telefone, endereço). As alterações são salvas automaticamente e refletem no sistema em até 5 minutos."
3,conta,Não recebi o e-mail de confirmação do meu cadastro,"Verifique sua caixa de spam/lixo eletrônico primeiro. Se não encontrar, acesse a tela de login e clique em 'Reenviar confirmação'. O e-mail pode levar até 15 minutos para chegar."
4,pedidos,Qual o prazo de entrega do meu pedido?,"O prazo padrão é de 5 a 10 dias úteis, dependendo da sua região. Você pode acompanhar o status exato do seu pedido em Meus Pedidos > Rastreamento."
5,pedidos,Como faço para trocar meu endereço de entrega?,"Antes do envio, vá em Meus Pedidos, selecione o pedido e clique em 'Editar endereço'. Após o envio, não é possível alterar o endereço; nesse caso, entre em contato com o transportador."
6,pedidos,Como cancelo um pedido?,"Pedidos ainda não enviados podem ser cancelados em Meus Pedidos > Cancelar Pedido. Pedidos já enviados devem ser recusados no recebimento ou devolvidos conforme nossa política de trocas."
7,relatorios,Dúvida sobre como funciona o relatório mensal,"O relatório mensal é gerado automaticamente todo dia 1º e enviado por e-mail. Ele consolida vendas, chamados de suporte e indicadores de desempenho do período anterior."
8,relatorios,Poderiam me explicar como exportar os dados para Excel?,"Em qualquer tela de relatório, clique no ícone de exportação (canto superior direito) e escolha o formato .xlsx ou .csv. O arquivo é gerado e baixado automaticamente."
9,relatorios,O relatório demorou mais que o normal para carregar,"Relatórios com grandes volumes de dados (acima de 6 meses) podem levar até 2 minutos para processar. Se o problema persistir por mais tempo, tente reduzir o período selecionado."
10,plataforma,Gostaria de um tutorial sobre o novo dashboard,"Disponibilizamos um tutorial interativo em Ajuda > Primeiros Passos > Novo Dashboard, além de vídeos curtos na Central de Ajuda explicando cada painel e indicador."
11,plataforma,Sugestão de melhoria para o menu do sistema,"Agradecemos a sugestão! Registramos todas as ideias em nosso canal de Feedback (Ajuda > Enviar Sugestão), que é avaliado periodicamente pelo time de produto."
12,plataforma,Pequeno erro visual identificado no sistema,"Agradecemos o aviso! Para reportar problemas visuais, use Ajuda > Reportar Bug, incluindo um print da tela. Nosso time técnico avalia e corrige nas próximas atualizações."
13,assinatura,Como cancelo minha assinatura?,"Acesse Configurações > Assinatura > Cancelar Plano. O cancelamento é efetivado ao final do ciclo já pago, sem cobranças adicionais, e você mantém acesso até essa data."
14,assinatura,Poderia me explicar como funciona o plano premium?,"O plano Premium inclui relatórios avançados, suporte prioritário e integrações via API. Você pode comparar todos os planos em Configurações > Assinatura > Planos Disponíveis."
15,assinatura,Como faço para fazer upgrade do meu plano?,"Vá em Configurações > Assinatura > Alterar Plano e selecione o novo plano desejado. A cobrança proporcional (pro-rata) é aplicada automaticamente na próxima fatura."
16,atendimento,"Ótimo atendimento, só queria elogiar a equipe","Muito obrigado pelo feedback! Vamos repassar o elogio para a equipe responsável. Ficamos felizes em saber que teve uma boa experiência com nosso suporte."
17,pagamentos,Como faço para atualizar meu cartão de pagamento?,"Acesse Configurações > Pagamento > Formas de Pagamento e adicione ou edite o cartão cadastrado. A alteração vale para a próxima cobrança automaticamente."
18,pagamentos,Não entendi uma cobrança na minha fatura,"Todas as cobranças detalhadas ficam disponíveis em Configurações > Faturas > Histórico. Caso identifique alguma divergência, você pode abrir uma contestação diretamente por lá."
