chamado,id_esperado
Esqueci minha senha e quero criar uma nova,1
Preciso mudar a senha da minha conta,1
Onde atualizo meu telefone nos dados cadastrais?,2
Mudei de endereço e quero atualizar meu cadastro,2
O e-mail de confirmação do cadastro não chegou,3
Qual o prazo para o pedido chegar na minha casa?,4
Em quantos dias úteis chega a entrega?,4
Quero mudar o endereço de entrega de um pedido,5
Preciso cancelar um pedido que fiz ontem,6
Como funciona o relatório mensal que vocês enviam?,7
Tem como exportar os dados do relatório para Excel?,8
O relatório está demorando muito para carregar,9
Existe algum tutorial do dashboard novo?,10
Tenho uma sugestão de melhoria para o sistema,11
Achei um erro visual na tela inicial,12
Quero cancelar minha assinatura,13
O que o plano premium oferece?,14
Como mudo meu plano para um superior?,15
Quero elogiar o atendimento que recebi,16
Preciso trocar o cartão de pagamento cadastrado,17
Tem uma cobrança na fatura que eu não reconheço,18
Vocês têm integração com sistema de folha de pagamento?,
Meu cachorro comeu o carregador do notebook,
Qual a previsão do tempo para amanhã?,
Vocês estão contratando desenvolvedores?,
Posso usar a plataforma em outro idioma?,
Quais são os horários de funcionamento da loja física?,
Como emito a segunda via do boleto?,
A API de vocês tem limite de requisições?,
Não lembro a credencial para entrar na plataforma,1
Quando meu produto vai ser entregue?,4
Desisti da compra e não quero mais receber,6
Quero encerrar meu plano mensal,13
Vocês cobraram duas vezes no meu cartão,18
Minha forma de pagamento expirou e preciso trocar,17
Consigo baixar a planilha com as informações?,8
A página inicial está com o layout quebrado,12
